key,source,target
C01_Strings_SB/0102_Intro_1,{300}O{100}NCE UPON A TIME#THERE WAS#A {125}PLUCKY SQUIRE#{100}NAMED {175}JOT,{300}B{100}AZEN BEHIN {175}JOT#{100}IZENA ZUEN#{125}EZKUTARI AUSART {100}BAT
C01_Strings_SB/0304_Cracking,{75}CRACKING!,{75}BIKAIN!
C01_Strings_SB/0304_DefendedTheLand,"HE DEFENDED THE LAND FROM#THE NEFARIOUS SORCERER, #{150}HUMGRUMP","JOTEK BERE LURRA#{150}PETRALTZAR#{100}AZTI MALTZURRARENGANDIK#DEFENDATZEN ZUEN"
C01_Strings_SB/0304_EveryoneAppreciated,WHICH EVERYONE VERY#MUCH APPRECIATED,ETA MUNDU GUZTIAK#ESKERTZEN ZION
C01_Strings_SB/0304_GoodLad,{75}GOOD LAD!,{75}ONENA ZARA!
C01_Strings_SB/0304_LatchLived,JOT LIVED IN #{140}THE LAND OF MOJO #- A LAND OF {140}CREATIVITY,"JOT {140}MOJO{100}N BIZI ZEN,#{140}SORMENAREN {100}LURRALDEAN"
C01_Strings_SB/0304_RuledBy,MOJO WAS #RULED BY THE GENTLE #{140}QUEEN CHROMA,MOJO {140}KROMA ERREGINA{100} ZINTZOAK#GOBERNATZEN ZUEN
C01_Strings_SB/0304_WellDone,{75}WELL DONE!,{75}ONGI EGINA!
C01_Strings_SB/0506_FromAfar,"FROM AFAR, HE COULD HEAR SOME #{150} RATHER EXCITING MUSIC...","URRUNEAN, {150}MUSIKA ZIRRARAGARRIA#{100}ENTZUTEN ZUEN..."
C01_Strings_SB/0506_HeGotDressed,HE GOT DRESSED#AND WENT TO#{125}INVESTIGATE...,JANTZI ETA KALERA#JOAN ZEN#{125}IKERTZERA...
C01_Strings_SB/0506_LatchAwoke,JOT AWOKE#ONE FINE MORNING,JOT GOIZ#EDER BATEAN ESNATU ZEN
C01_Strings_SB/0506_LeaptFromBed,AND PLUCKILY#LEAPT FROM#HIS BED.,ETA KEMENTSU#EGIN ZUEN JAUZI#BERE OHETIK.
C01_Strings_SB/0506a_GrippingBooks,...WHO FOUND #THEM QUITE #{140}GRIPPING.,...{140}LILURAZ#{100}BETERIK.
C01_Strings_SB/0506a_JotAWriter,JOT WAS ALSO A #{140}WRITER,JOT {140}IDAZLEA#{100}ERE BAZEN
C01_Strings_SB/0506a_TalesRead,THESE TALES WERE #{140}AVIDLY READ{100} #BY ALL THE PEOPLE #OF THE LAND...,IPUIN HAUEK#{140}GOGOTSU IRAKURTZEN{100}#ZITUZTEN LURRALDEKO#PERTSONA GUZTIEK...
C01_Strings_SB/0506a_TranscribeAdventures,AND WOULD #TRANSCRIBE HIS #MANY ADVENTURES #{140}IN BOOK FORM.,ETA BETI#TRANSKRIBATZEN#ZITUEN BERE ABENTURAK#{140}IPUIN FORMAN.
C01_Strings_SB/0708_ChapterOne,CHAPTER ONE,LEHENENGO KAPITULUA
C01_Strings_SB/0708_SomeSeriousBeeswax,SOME SERIOUS BEESWAX,ERLEA ETA AZKONARRA
C01_Strings_SB/0910_MusicBooming,THE MUSIC WAS REALLY BOOMING,MUSIKA OSO BURRUNBATSUA ZEN
C01_Strings_SB/0910_InvestigateMusic,JOT REALLY FELT LIKE INVESTIGATING THAT MUSIC...,JOTEK MUSIKA HORI IKERTZEKO SEKULAKO BEHARRA SENTITU ZUEN
C01_Strings_SB/0910_MoonbeardDJ_WaxAdventures,{120}ARE YOU HEARING THIS LAD?! @{120}I RECKON IT COULD BE A SCOOTCH LOUDER!.. @{120}ALL ABOARD THE MOONBEARD EXPRESS! @{120}DESTINATION... {150}DANCE CITY!,{120}ENTZUTEN AL DUZU HAU, MUTIKO?! @{120}PIXKA BAT ALTUXEAGO EGON DAITEKEELA USTE DUT!.. @{120}IGO GUZTIOK ILARGIBIZAR EXPRESSERA! @{120}HELMUGA... {150}DANTZA HIRIA!
C01_Strings_SB/0910_PipChat01,"A MINI QUEST, WOOO-HAAA! YOU TAKE CARE OF THE GOBLINS, AND I'LL HAUL THE WAX BACK HERE FOR YA! @.... @OH YEAH, THERE'LL BE GOBLINS... @NO SWEAT FOR YOU THOUGH, RIGHT JOT?","MINI-ABENTURA BAT, UOOO-JAAA! ZU ARDURATU IRATXOEZ, ETA NIK EKARRIKO DIZUT ARGIZARIA! @.... @OH BAI, IRATXOAK EGONGO DIRA... @LAN ERRAZA ZURETZAT, EZTA JOT?"
C01_Strings_SB/0910_WoodsBeckoned,THE ENTRANCE TO THE WOODS BECKONED...,BASOKO SARRERA DEIKA ZUEN...
C01_Strings_SB/1112_AhLatch,"“AH, JOT, MY LAD!""","“AH, JOT, LAGUN!"""
C01_Strings_SB/1112_HeExclaimed,HE EXCLAIMED.,OIHUKATU ZUEN.
C01_Strings_SB/1112_ImOnARoll,"“I'M ON A ROLL HERE! TRAVELLING TO NEW MUSICAL REALMS!","“TOPERA NABIL HEMEN! MUSIKA ERRESUMA BERRIETARA BIDAIATZEN!"
C01_Strings_SB/1112_SinceYoureHere,"SINCE YOU'RE HERE, LAD, I HAVE A SMALL FAVOUR TO ASK...""","HEMEN ZAUDENEZ, LAGUN, MESEDETXO BAT ESKATUKO DIZUT..."""
C01_Strings_SB/1112_ThisWasTheHouse,"THIS WAS THE HOUSE OF#{150}THE GOOD WIZARD MOONBEARD,#JOT'S CLOSE FRIEND AND {134}MENTOR.","#{150}ILARGIBIZAR AZTI ZINTZOAREN {100}ETXEA ZEN,#JOTEN LAGUN MINA ETA BERE {134}AHOLKULARIA."
C01_Strings_SB/1314_INeedMore,"“I NEED MORE WAX, LAD!","“ARGIZARI GEHIAGO BEHAR DUT, LAGUN!"
C01_Strings_SB/1314_PipHere,"{150}“PIP#HERE WILL#ACCOMPANY#YOU!""","{150}“PIP{100}EK#LAGUN EGINGO#DIZU!"""
C01_Strings_SB/1314_ToPressMoreRecords,"...TO PRESS MORE RECORDS, YOU KNOW?""","...DISKO GEHIAGO EGITEKO, EZ DAKIZU?"""
C01_Strings_SB/1314_Wax,"“WAX!""","“ARGIZARIA!"""
C01_Strings_SB/1314_WouldYouGo,"“WOULD YOU GO TO#{150}HONEY PEAK{100}#AND GET SOME WAX FROM#{150}BENNY BEE?""{100}","{150}“EZTI TONTOR{100}ERA JOAN#ETA ESKATUKO DIOZU EZTIA#{150}BENNY ERLEARI?""{100}"
C01_Strings_SB/1516_GoblinsAhead,{150}GOBLINS{100} AMBLED AHEAD.,{150}IRATXOAK{100} INGURUAN ZEBILTZAN.
C01_Strings_SB/1516_PipChat_WrongWay,"JOT, THAT'S NOT THE WAY TO HONEY PEAK!","JOT, HORI EZ DA EZTI TONTORRERAKO BIDEA!"
C01_Strings_SB/1516_ToGreatRoads,TO TOME TOWER,LIBURUKI DORRERA
C01_Strings_SB/1516a_HoneyPeak,HONEY PEAK,EZTI TONTORRA
C01_Strings_SB/1516a_InkWood,INKWOOD,TINTABASOA
C01_Strings_SB/1718_GateSwungOpen,THE GATE SWUNG OPEN FOR THE PLUCKY SQUIRE,ATEA BAPATEAN IREKI ZEN EZKUTARI AUSARTARENTZAT
C01_Strings_SB/1718_HoneyPeak,HONEY PEAK!,EZTI TONTORRA!
C01_Strings_SB/1920_LeaptOnwards,THE PLUCKY SQUIRE LEAPT NIMBLY ONWARDS!,EZKUTARI AUSARTAK BIZKORKI EGIN ZUEN AURRERA!
C01_Strings_SB/1920_Precarious,NOW THIS LOOKED REALLY QUITE...#{150}PRECARIOUS!,"TIRA, HONEK ITXURA NAHIKO...#{150}EZEGONKORRA DU!"
C01_Strings_SB/2122_DeepBreath,JOT TOOK#A DEEP BREATH...,JOTEK ARNASA#SAKON HARTU...
C01_Strings_SB/2122_LeaptOff,AND OFF HE LEAPT!,ETA JAUZI!
C01_Strings_SB/2324_AGoblin,A GOBLIN!,IRATXO BAT!
C01_Strings_SB/2526_PipChat04,AHH... THE TOP OF HONEY PEAK... #THE VIEW IS INCREDIBLE! @...,AHH... EZTI TONTORREKO GAILURRA... #BISTA ZORAGARRIA DA! @...
C01_Strings_SB/2526_PipChat05,"NOW THAT RIGHT THERE IS A MASSIVE OWL. @THAT'S TOME TOWER, THAT IS!","IKUSTEN DUZU HORKO HONTZ ERRALDOI HORI? @HORI LIBURUKI DORREA DA!"
C01_Strings_SB/2526_PipChat06,"WHOAH! THAT'S A HONEY BADGER! EATING BENNY BEE'S HONEY! @BE ON YOUR TOES, JOT... A HUNGRY HONEY BADGER CAN BE REALLY CRANKY...","UAUU! EZTI AZKONARRA DA! BENNY ERLEAREN EZTIA JATEN ARI DA! @KASU EMAN, JOT... GOSEAK DAGOEN AZKONARRA OSO ERRETXINA IZAN DAITEKE..."
C01_Strings_SB/2526_PipChat07,OH HECK... HERE WE GO...,ENE BADA... HASI DA...
C01_Strings_SB/2526_BennyBeeChat_ComplimentsToWiz,COMPLIMENTS TO THE WIZ.,GORAINTZIAK AZTIARI.
C01_Strings_SB/2526_BennyBeeChat_ForSureWax,"FOR SURE, PIP, MY MAN, I OWE YOU GUYS. HERE YOU GO.","ZIUR, PIP, GIZON, ZOR DIZUET. HEMEN DUZUE."
